uwi,long,lat,lease,operator,fake_number
1275,-98.5432786,28.7611614,PAPA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,61
1276,-98.5432161,28.7611619,PAPA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,14
1277,-98.779165,28.6775456,SNOWFLAKE,EOG RESOURCES INCORPORATED,68
1278,-98.7790583,28.6775194,SNOWFLAKE,EOG RESOURCES INCORPORATED,59
1279,-98.7792708,28.6775706,SNOWFLAKE,EOG RESOURCES INCORPORATED,88
1280,-98.4224972,28.7599528,LEMON UNIT,EOG RESOURCES INCORPORATED,74
1281,-98.4223889,28.7599611,LIME UNIT,EOG RESOURCES INCORPORATED,66
1282,-98.3458167,28.8954917,OCELOT,EOG RESOURCES INCORPORATED,3
1283,-98.3009139,28.9087528,GROUSE A,EOG RESOURCES INCORPORATED,78
1284,-98.2543378,28.9075183,STONE UNIT,EOG RESOURCES INCORPORATED,19
1285,-98.5918583,28.7395492,ORION,EOG RESOURCES INCORPORATED,20
1286,-98.5485364,28.7396039,MOON UNIT,EOG RESOURCES INCORPORATED,34
1287,-98.5917917,28.7394722,ORION,EOG RESOURCES INCORPORATED,33
1288,-98.7817528,28.7545556,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,85
1289,-98.1724333,28.8562997,SIKA UNIT,EOG RESOURCES INCORPORATED,97
1290,-98.1723806,28.8562167,SIKA UNIT,EOG RESOURCES INCORPORATED,47
1291,-98.5484306,28.7396306,MERCURY UNIT,EOG RESOURCES INCORPORATED,51
1292,-98.7817056,28.7545533,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,90
1293,-98.1626869,28.7500611,WRIGHT-HENKE UNIT,MARATHON OIL EF LLC,4
1294,-98.1249261,28.7852759,DEATLEY-HOLLUB UNIT,MARATHON OIL EF LLC,89
1295,-98.1248594,28.785334,DEATLEY-HOLLUB UNIT,MARATHON OIL EF LLC,86
1296,-98.1626222,28.7499972,WRIGHT-HENKE UNIT,MARATHON OIL EF LLC,67
1297,-98.4667637,28.9063426,CAT EYES UNIT,ABRAXAS PETROLEUM CORPORATION,85
1298,-98.1247926,28.7853915,DEATLEY-HOLLUB UNIT,MARATHON OIL EF LLC,7
1299,-98.1247258,28.7854472,DEATLEY-HOLLUB UNIT,MARATHON OIL EF LLC,73
1300,-98.414875,28.6855083,GAENZEL,MARATHON OIL EF LLC,65
1301,-98.2280006,28.8287417,NIBLING EAST UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,26
1302,-98.2280583,28.8286972,NIBLING WEST UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,73
1303,-98.4149139,28.6854861,GAENZEL,MARATHON OIL EF LLC,19
1304,-98.5786028,28.7027611,NEPTUNE UNIT,EOG RESOURCES INCORPORATED,44
1305,-98.5787111,28.7027611,PLUTO UNIT,EOG RESOURCES INCORPORATED,30
1306,-98.4684694,28.7823361,ERNEST UNIT,EOG RESOURCES INCORPORATED,39
1307,-98.4147986,28.685555,MCCOWEN MIDDLE,MARATHON OIL EF LLC,66
1308,-98.4867406,28.7561728,PEACH UNIT,EOG RESOURCES INCORPORATED,40
1309,-98.2741997,28.9141847,LECHWE UNIT,EOG RESOURCES INCORPORATED,69
1310,-98.3163511,28.8070328,JAVELINA UNIT,EOG RESOURCES INCORPORATED,87
1311,-98.3164194,28.8071078,JAVELINA UNIT,EOG RESOURCES INCORPORATED,3
1312,-98.3164889,28.8071861,JAVELINA UNIT,EOG RESOURCES INCORPORATED,93
1313,-98.2742667,28.9141083,CHACHALACA UNIT,EOG RESOURCES INCORPORATED,15
1314,-98.1233861,28.8050892,CHAPMAN-PFEIL UNIT,MARATHON OIL EF LLC,50
1315,-98.1234598,28.8050362,CHAPMAN-PFEIL UNIT,MARATHON OIL EF LLC,72
1316,-98.1233139,28.8051422,CHAPMAN-PFEIL ALLOCATION,MARATHON OIL EF LLC,31
1317,-98.4572806,28.8530972,KUHNEL UNIT,EOG RESOURCES INCORPORATED,6
1318,-98.45717,28.8530956,KUHNEL UNIT,EOG RESOURCES INCORPORATED,59
1319,-98.2888405,28.8651541,STONE-SCHUBLE,GULFTEX ENERGY IV LP,56
1320,-98.5525056,28.7026694,COMET UNIT,EOG RESOURCES INCORPORATED,93
1321,-98.551795,28.774145,KASPER UNIT,ATLAS EAGLE FORD OPERATING CO LLC,2
1322,-98.5518572,28.7741453,KASPER UNIT,ATLAS EAGLE FORD OPERATING CO LLC,65
1323,-98.55335,28.7026722,METEOR UNIT,EOG RESOURCES INCORPORATED,57
1324,-98.5115806,28.6601611,WEED UNIT,EOG RESOURCES INCORPORATED,77
1325,-98.2524186,28.7088483,MAY R `B`,MARATHON OIL EF LLC,20
1326,-98.25249,28.708795,MAY R `B`,MARATHON OIL EF LLC,85
1327,-98.27275,28.8744361,SHARPTAIL B,EOG RESOURCES INCORPORATED,78
1328,-98.5638278,28.7390333,EARTH UNIT,EOG RESOURCES INCORPORATED,5
1329,-98.5826761,28.822711,MOOS UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,62
1330,-98.5826146,28.8227535,MOOS UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,40
1331,-98.2815472,28.6596611,GUAJILLO UNIT 9 NORTH,MARATHON OIL EF LLC,39
1332,-98.2817083,28.659575,GUAJILLO UNIT 9 NORTH,MARATHON OIL EF LLC,21
1333,-98.2817889,28.6595306,GUAJILLO UNIT 9 NORTH,MARATHON OIL EF LLC,63
1334,-98.2816278,28.6596167,GUAJILLO UNIT 9 NORTH,MARATHON OIL EF LLC,26
1335,-98.2684095,28.7710115,WALNUT,MURPHY EXPLORATION & PRODUCTION CO-USA,11
1336,-98.2683502,28.7710559,WALNUT,MURPHY EXPLORATION & PRODUCTION CO-USA,65
1337,-98.2726973,28.8743527,SHARPTAIL A,EOG RESOURCES INCORPORATED,32
1338,-98.4760839,28.7635719,SAMUEL UNIT,EOG RESOURCES INCORPORATED,70
1339,-98.4118673,28.7420282,TANGERINE UNIT,EOG RESOURCES INCORPORATED,14
1340,-98.6621889,28.7134194,LAGUNILLAS CAMP,PETROEDGE OPERATING IV LLC,86
1341,-98.4627,28.69459,PEELER RANCH,SEA EAGLE FORD LLC,31
1342,-98.4442528,28.8524889,OSTRICH UNIT,EOG RESOURCES INCORPORATED,69
1343,-98.4447722,28.8255111,SCHESKE,EOG RESOURCES INCORPORATED,81
1344,-98.4447723,28.8256055,SCHESKE,EOG RESOURCES INCORPORATED,54
1345,-98.4218947,28.8599869,BIGHORN UNIT,EOG RESOURCES INCORPORATED,63
1346,-98.5530919,28.8019533,JASON UNIT,ATLAS EAGLE FORD OPERATING CO LLC,95
1347,-98.5530917,28.8018986,JASON UNIT,ATLAS EAGLE FORD OPERATING CO LLC,75
1348,-98.6000004,28.7259031,PEELER,CINCO OIL & GAS LLC,39
1349,-98.7938361,28.7698278,SABRE CLIP UNIT,CABOT OIL & GAS CORPORATION,77
1350,-98.5737881,28.7468969,PEELER NORTHEAST UNIT A,CINCO OIL & GAS LLC,44
1351,-98.5035722,28.8495139,DHARMA UNIT,EOG RESOURCES INCORPORATED,48
1352,-98.5738547,28.7468608,PEELER NORTHEAST UNIT B,CINCO OIL & GAS LLC,77
1353,-98.2348525,28.7020418,MAY R `A`,MARATHON OIL EF LLC,35
1354,-98.2347764,28.7020897,MAY R `A`,MARATHON OIL EF LLC,24
1355,-98.2347003,28.7021379,MAY R `A`,MARATHON OIL EF LLC,54
1356,-98.2381167,28.6847194,MAY R `B`,MARATHON OIL EF LLC,40
1357,-98.2380397,28.6847647,MAY R `B`,MARATHON OIL EF LLC,29
1358,-98.2620539,28.7965908,QUAIL,EOG RESOURCES INCORPORATED,71
1359,-98.7938458,28.7698589,HAWKBILL UNIT,CABOT OIL & GAS CORPORATION,37
1360,-98.5090481,28.7944514,HOBART UNIT,EOG RESOURCES INCORPORATED,96
1361,-98.1657639,28.7514154,MAUCH UNIT,MARATHON OIL EF LLC,30
1362,-98.1658206,28.751481,MAUCH UNIT,MARATHON OIL EF LLC,64
1363,-98.1658773,28.7515467,MAUCH UNIT,MARATHON OIL EF LLC,61
1364,-98.5369739,28.883725,STAFFORD-KERCHO,VIRTEX OPERATING COMPANY INCORPORATED,58
1365,-98.5526761,28.6540275,PENNINGTON UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,85
1366,-98.5152556,28.7591833,BANANA UNIT,EOG RESOURCES INCORPORATED,70
1367,-98.4995306,28.7586333,ORANGE UNIT,EOG RESOURCES INCORPORATED,65
1368,-98.4447,28.7589278,MANGO UNIT,EOG RESOURCES INCORPORATED,14
1369,-98.4371236,28.7549864,APRICOT UNIT,EOG RESOURCES INCORPORATED,1
1370,-98.7998489,28.6513281,SIEGELE,CARRIZO EAGLE FORD LLC,81
1371,-98.74275,28.7579,DAVIS MATT JR,CABOT OIL & GAS CORPORATION,99
1372,-98.799803,28.65133,SIEGELE,CARRIZO EAGLE FORD LLC,46
1373,-98.3914944,28.847035,TIBETAN RED UNIT,EOG RESOURCES INCORPORATED,53
1374,-98.6601019,28.7594478,DP UNIT,CINCO OIL & GAS LLC,85
1375,-98.6601622,28.7594328,DP UNIT,CINCO OIL & GAS LLC,60
1376,-98.5772552,28.7938525,STEIN UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,36
1377,-98.5773333,28.7938528,STEIN UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,68
1378,-98.6926761,28.7712272,BRAZOS UNIT,CABOT OIL & GAS CORPORATION,77
1379,-98.6926306,28.7712361,BOSQUE UNIT,CABOT OIL & GAS CORPORATION,29
1380,-98.5852067,28.7616147,MGS UNIT,ATLAS EAGLE FORD OPERATING CO LLC,89
1381,-98.58514,28.76161,MGS UNIT,ATLAS EAGLE FORD OPERATING CO LLC,79
1382,-98.2662194,28.6820611,GUAJILLO EAST,MARATHON OIL EF LLC,11
1383,-98.2663528,28.6819444,GUAJILLO EAST,MARATHON OIL EF LLC,25
1384,-98.2662861,28.6820028,GUAJILLO EAST,MARATHON OIL EF LLC,16
1385,-98.2664194,28.6818861,GUAJILLO EAST,MARATHON OIL EF LLC,89
1386,-98.2664861,28.6818278,GUAJILLO EAST,MARATHON OIL EF LLC,11
1387,-98.7355667,28.7746306,SAN MARCOS UNIT,CABOT OIL & GAS CORPORATION,76
1388,-98.7355996,28.7749413,SAN MARCOS UNIT,CABOT OIL & GAS CORPORATION,4
1389,-98.2725425,28.6766769,GUAJILLO EAST,MARATHON OIL EF LLC,80
1390,-98.2726125,28.6766222,GUAJILLO EAST,MARATHON OIL EF LLC,33
1391,-98.2726828,28.6765675,GUAJILLO EAST,MARATHON OIL EF LLC,7
1392,-98.2727525,28.6765128,GUAJILLO EAST,MARATHON OIL EF LLC,17
1393,-98.2728228,28.6764581,GUAJILLO EAST,MARATHON OIL EF LLC,100
1394,-98.2566389,28.7520778,TOM-SMITH UNIT B,MARATHON OIL EF LLC,93
1395,-98.2565694,28.7521333,TOM-SMITH UNIT B,MARATHON OIL EF LLC,11
1396,-98.6925833,28.7712472,RIO GRANDE UNIT,CABOT OIL & GAS CORPORATION,84
1397,-98.6244233,28.6860681,CUELLAR,EOG RESOURCES INCORPORATED,9
1398,-98.6245294,28.6860436,CUELLAR,EOG RESOURCES INCORPORATED,100
1399,-98.7357392,28.7963136,DAVIS CLAY UNIT,CABOT OIL & GAS CORPORATION,77
1400,-98.7357833,28.7963028,DAVIS MACO UNIT,CABOT OIL & GAS CORPORATION,51
1401,-98.5187617,28.8202616,BELTRAN UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,40
1402,-98.5352502,28.811758,HIRSCH UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,69
1403,-98.5351722,28.8117583,MASSARO UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,19
1404,-98.5153667,28.7591833,PEAR UNIT,EOG RESOURCES INCORPORATED,50
1405,-98.6122778,28.7867765,HINDES UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,71
1406,-98.6123556,28.7867778,HINDES UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,22
1407,-98.6923611,28.7923917,NECHES UNIT,CABOT OIL & GAS CORPORATION,23
1408,-98.6923194,28.7924028,PEDERNALES UNIT,CABOT OIL & GAS CORPORATION,82
1409,-98.7133161,28.7606533,TRINITY UNIT,CABOT OIL & GAS CORPORATION,25
1410,-98.6081583,28.8125389,MCCOMAS UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,72
1411,-98.7809828,28.6795831,RAINDROP UNIT,EOG RESOURCES INCORPORATED,51
1412,-98.6082353,28.8125403,MCCOMAS UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,31
1413,-98.6083136,28.8125402,MCCOMAS UNIT C,MURPHY EXPLORATION & PRODUCTION CO-USA,50
1414,-98.23565,28.8214306,BRISTER UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,59
1415,-98.2358583,28.8212861,KELLNER UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,30
1416,-98.6200793,28.8113594,MCCOMAS UNIT E,MURPHY EXPLORATION & PRODUCTION CO-USA,61
1417,-98.6199986,28.8113023,MCCOMAS UNIT D,MURPHY EXPLORATION & PRODUCTION CO-USA,66
1418,-98.6914192,28.8201483,BLANCO UNIT,CABOT OIL & GAS CORPORATION,58
1419,-98.7093139,28.8070639,COMAL UNIT,CABOT OIL & GAS CORPORATION,61
1420,-98.7093031,28.8070253,SAN SABA UNIT,CABOT OIL & GAS CORPORATION,98
1421,-98.6914306,28.8201883,LAVACA UNIT,CABOT OIL & GAS CORPORATION,36
1422,-98.7964944,28.6570083,RACCOON CREEK 1H,CABOT OIL & GAS CORPORATION,78
1423,-98.26655,28.6817694,GUAJILLO EAST,MARATHON OIL EF LLC,3
1424,-98.6508097,28.7897103,WILSON BROTHERS UNIT,CINCO OIL & GAS LLC,54
1425,-98.4963564,28.7139247,COCONUT UNIT,EOG RESOURCES INCORPORATED,78
1426,-98.6845061,28.8191325,GUADALUPE UNIT,CABOT OIL & GAS CORPORATION,14
1427,-98.1523792,28.8005242,SEILER-SCHUMANN-URBANCZYK ALLOCATION #1,XTO ENERGY INCORPORATED,59
1428,-98.1523381,28.8004783,SEILER-SCHUMANN-URBANCZYK ALLOCATION #2,XTO ENERGY INCORPORATED,78
1429,-98.1522984,28.8004395,SEILER-SCHUMANN-URBANCZYK ALLOCATION #3,XTO ENERGY INCORPORATED,75
1430,-98.1522595,28.8003967,SEILER-SCHUMANN-URBANCZYK ALLOCATION #4,XTO ENERGY INCORPORATED,68
1431,-98.6259558,28.6857422,CUELLAR,EOG RESOURCES INCORPORATED,86
1432,-98.5517167,28.7741472,KASPER UNIT,ATLAS EAGLE FORD OPERATING CO LLC,15
1433,-98.55164,28.7741459,KASPER UNIT,ATLAS EAGLE FORD OPERATING CO LLC,87
1434,-98.7830186,28.6893478,KINGPIN UNIT,EOG RESOURCES INCORPORATED,23
1435,-98.5727278,28.7812389,JIMMY UNIT,ATLAS EAGLE FORD OPERATING CO LLC,89
1436,-98.6059047,28.7662571,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,30
1437,-98.7549778,28.6721389,MOONLIGHT,EOG RESOURCES INCORPORATED,21
1438,-98.1491494,28.8026853,HKH ALLOCATION #1,XTO ENERGY INCORPORATED,6
1439,-98.1491078,28.8026444,HKH ALLOCATION #2,XTO ENERGY INCORPORATED,8
1440,-98.1407578,28.8088856,HKH ALLOCATION #4,XTO ENERGY INCORPORATED,21
1441,-98.6058268,28.7662571,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,85
1442,-98.6057472,28.7662583,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,15
1443,-98.6056709,28.7662571,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,73
1444,-98.6031389,28.7662278,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,94
1445,-98.1490661,28.8026036,HKH ALLOCATION #3,XTO ENERGY INCORPORATED,100
1446,-98.6030599,28.766227,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,21
1447,-98.6029831,28.7662273,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,64
1448,-98.6029028,28.7662278,HARRIS,ATLAS EAGLE FORD OPERATING CO LLC,8
1449,-98.281225,28.6591889,GUAJILLO UNIT 9 SOUTH,MARATHON OIL EF LLC,61
1450,-98.2813056,28.6591472,GUAJILLO UNIT 9 SOUTH,MARATHON OIL EF LLC,23
1451,-98.2813861,28.6591028,GUAJILLO UNIT 9 SOUTH,MARATHON OIL EF LLC,39
1452,-98.2814667,28.6590611,GUAJILLO UNIT 9 SOUTH,MARATHON OIL EF LLC,69
1453,-98.1407178,28.8088428,HKHR ALLOCATION #5,XTO ENERGY INCORPORATED,38
1454,-98.1406783,28.8088006,HKHR ALLOCATION #6,XTO ENERGY INCORPORATED,94
1455,-98.430048,28.654905,TG UNIT,CARRIZO EAGLE FORD LLC,97
1456,-98.430012,28.654932,TG UNIT,CARRIZO EAGLE FORD LLC,25
1457,-98.1406389,28.8087586,HKHR ALLOCATION #7,XTO ENERGY INCORPORATED,34
1458,-98.429976,28.654959,TG UNIT,CARRIZO EAGLE FORD LLC,26
1459,-98.1406,28.8087167,HKHR ALLOCATION #8,XTO ENERGY INCORPORATED,100
1460,-98.5911167,28.7598972,MGS UNIT,ATLAS EAGLE FORD OPERATING CO LLC,86
1461,-98.6005033,28.7892631,BIRDWELL UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,90
1462,-98.5910361,28.7598972,MGS UNIT,ATLAS EAGLE FORD OPERATING CO LLC,3
1463,-98.7803861,28.6982278,SUNSHINE UNIT,EOG RESOURCES INCORPORATED,74
1464,-98.6323972,28.7099722,PANCHO WEST UNIT,ATLAS EAGLE FORD OPERATING CO LLC,50
1465,-98.6322472,28.7100056,PANCHO WEST UNIT,ATLAS EAGLE FORD OPERATING CO LLC,5
1466,-98.6320944,28.7100361,PANCHO WEST UNIT,ATLAS EAGLE FORD OPERATING CO LLC,14
1467,-98.6267959,28.7101233,PANCHO EAST UNIT,ATLAS EAGLE FORD OPERATING CO LLC,25
1468,-98.62664,28.7101208,PANCHO EAST UNIT,ATLAS EAGLE FORD OPERATING CO LLC,76
1469,-98.2248444,28.8022028,PAWLIK-RODRIGUEZ UNIT,ENERVEST OPERATING LLC,15
1470,-98.780565,28.716555,THUNDER UNIT,EOG RESOURCES INCORPORATED,19
1471,-98.4851583,28.7493528,PUMPKIN UNIT,EOG RESOURCES INCORPORATED,68
1472,-98.6270306,28.685875,CUELLAR,EOG RESOURCES INCORPORATED,59
1473,-98.58184,28.69552,PULSAR,EOG RESOURCES INCORPORATED,37
1474,-98.5058472,28.7587917,TOMATO UNIT,EOG RESOURCES INCORPORATED,64
1475,-98.4657208,28.6821486,PEELER RANCH EFS,SEA EAGLE FORD LLC,68
1476,-98.41225,28.660166,GLOVER-RAYES `A` UNIT,CARRIZO EAGLE FORD LLC,24
1477,-98.412297,28.660166,GLOVER-RAYES `A` UNIT,CARRIZO EAGLE FORD LLC,63
1478,-98.41216,28.66016,GLOVER-RAYES `B` UNIT,CARRIZO EAGLE FORD LLC,77
1479,-98.412203,28.660166,GLOVER-RAYES B UNIT,CARRIZO EAGLE FORD LLC,59
1480,-98.412343,28.660166,GLOVER-RAYES `B` UNIT,CARRIZO EAGLE FORD LLC,31
1481,-98.2716139,28.6619944,GUAJILLO UNIT 7 SOUTH,MARATHON OIL EF LLC,13
1482,-98.271775,28.6619111,GUAJILLO UNIT 7 SOUTH,MARATHON OIL EF LLC,12
1483,-98.2716944,28.6619528,GUAJILLO UNIT 7 SOUTH,MARATHON OIL EF LLC,63
1484,-98.2718556,28.6618694,GUAJILLO UNIT 7 SOUTH,MARATHON OIL EF LLC,97
1485,-98.2719364,28.6618261,GUAJILLO UNIT 7 SOUTH,MARATHON OIL EF LLC,11
1486,-98.4739917,28.9041139,BULLSEYE UNIT,ABRAXAS PETROLEUM CORPORATION,22
1487,-98.6405139,28.6800111,CUELLAR,EOG RESOURCES INCORPORATED,95
1488,-98.2922067,28.6464269,GUAJILLO UNIT 16 SOUTH,MARATHON OIL EF LLC,31
1489,-98.2920214,28.64645,GUAJILLO UNIT 16 SOUTH,MARATHON OIL EF LLC,94
1490,-98.2921139,28.6464386,GUAJILLO UNIT 16 SOUTH,MARATHON OIL EF LLC,43
1491,-98.2922994,28.6464156,GUAJILLO UNIT 16 SOUTH,MARATHON OIL EF LLC,84
1492,-98.5879361,28.7454056,GALAXY UNIT,EOG RESOURCES INCORPORATED,11
1493,-98.4860972,28.7399639,KIWI UNIT,EOG RESOURCES INCORPORATED,40
1494,-98.7779083,28.7791139,MERCURY 1H,CABOT OIL & GAS CORPORATION,21
1495,-98.7779536,28.7791031,MERCURY 2H,CABOT OIL & GAS CORPORATION,70
1496,-98.6717964,28.7588011,RDG UNIT,CINCO OIL & GAS LLC,87
1497,-98.6717361,28.7588153,EC NORTH UNIT,CINCO OIL & GAS LLC,15
1498,-98.5812406,28.7435339,RVR,EOG RESOURCES INCORPORATED,58
1499,-98.2146417,28.8440583,JENDRUSCH GEROLD UNIT,EOG RESOURCES INCORPORATED,16
1500,-98.2145639,28.8441,JENDRUSCH-GEROLD UNIT,EOG RESOURCES INCORPORATED,73
1501,-98.1984392,28.828666,JENDRUSCH-GEROLD UNIT,EOG RESOURCES INCORPORATED,67
1502,-98.2133556,28.8447861,JENDRUSCH-GEROLD UNIT,EOG RESOURCES INCORPORATED,13
1503,-98.561724,28.658577,COUNTISS,CHESAPEAKE OPERATING LLC,44
1504,-98.56163,28.658575,COUNTISS,CHESAPEAKE OPERATING LLC,96
1505,-98.561537,28.658574,COUNTISS,CHESAPEAKE OPERATING LLC,12
1506,-98.561443,28.658573,COUNTISS,CHESAPEAKE OPERATING LLC,90
1507,-98.780495,28.7166292,LIGHTNING UNIT,EOG RESOURCES INCORPORATED,68
1508,-98.2419644,28.6821053,MAY R `B`,MARATHON OIL EF LLC,19
1509,-98.2418928,28.6821581,MAY R `B`,MARATHON OIL EF LLC,53
1510,-98.2418208,28.6822108,MAY R `B`,MARATHON OIL EF LLC,97
1511,-98.1237556,28.8020167,CHAPMAN ROTHE UNIT,MARATHON OIL EF LLC,86
1512,-98.1236869,28.8020711,CHAPMAN ROTHE UNIT,MARATHON OIL EF LLC,25
1513,-98.7895,28.7845389,GAP 1H,CABOT OIL & GAS CORPORATION,26
1514,-98.11775,28.8051083,CHAPMAN ROTHE UNIT,MARATHON OIL EF LLC,36
1515,-98.1178083,28.8051722,CHAPMAN ROTHE UNIT,MARATHON OIL EF LLC,57
1516,-98.1178694,28.8052333,CHAPMAN ROTHE UNIT,MARATHON OIL EF LLC,18
1517,-98.6226864,28.7034028,MAR RANCH,ATLAS EAGLE FORD OPERATING CO LLC,77
1518,-98.6252652,28.7018426,MAR RANCH,ATLAS EAGLE FORD OPERATING CO LLC,89
1519,-98.6226474,28.7093409,MAR RANCH,ATLAS EAGLE FORD OPERATING CO LLC,89
1520,-98.6226444,28.7094806,MAR RANCH,ATLAS EAGLE FORD OPERATING CO LLC,96
1521,-98.6614694,28.7119222,CUELLAR,EOG RESOURCES INCORPORATED,86
1522,-98.6602111,28.7131556,CUELLAR,EOG RESOURCES INCORPORATED,64
1523,-98.5145528,28.8473917,JOANNE UNIT,EOG RESOURCES INCORPORATED,55
1524,-98.4586944,28.704125,PEELER RANCH EFS,SEA EAGLE FORD LLC,88
1525,-98.4855444,28.7533361,AVOCADO UNIT,EOG RESOURCES INCORPORATED,63
1526,-98.7328363,28.7354493,BOWMAN WEST,TEXAS AMERICAN RESOURCES COMPANY,9
1527,-98.7327467,28.7354258,BOWMAN WEST,TEXAS AMERICAN RESOURCES COMPANY,71
1528,-98.7326566,28.7354022,BOWMAN WEST,TEXAS AMERICAN RESOURCES COMPANY,24
1529,-98.7276856,28.7341867,BOWMAN WEST,TEXAS AMERICAN RESOURCES COMPANY,66
1530,-98.7275958,28.7341636,BOWMAN WEST,TEXAS AMERICAN RESOURCES COMPANY,100
1531,-98.5046278,28.6990028,WATERMELON UNIT,EOG RESOURCES INCORPORATED,52
1532,-98.6289714,28.7840753,JUNE BUG UNIT,CINCO OIL & GAS LLC,37
1533,-98.6289111,28.7840889,A RANCH UNIT,CINCO OIL & GAS LLC,78
1534,-98.443091,28.758791,PEELER J `A` UNIT,CARRIZO EAGLE FORD LLC,73
1535,-98.443044,28.758791,PEELER J `A` UNIT,CARRIZO EAGLE FORD LLC,10
1536,-98.442997,28.758792,PEELER J `A` UNIT,CARRIZO EAGLE FORD LLC,3
1537,-98.2958494,28.6431564,GUAJILLO WEST,MARATHON OIL EF LLC,70
1538,-98.2958233,28.6432356,GUAJILLO WEST,MARATHON OIL EF LLC,15
1539,-98.2957981,28.643315,GUAJILLO WEST,MARATHON OIL EF LLC,27
1540,-98.2957719,28.6433944,GUAJILLO WEST,MARATHON OIL EF LLC,7
1541,-98.2957461,28.6434744,GUAJILLO WEST,MARATHON OIL EF LLC,34
1542,-96.4541668,30.0611111,GOLDBERG UNIT,ENERVEST OPERATING LLC,15
1543,-96.4336112,30.0508332,GLAESER UNIT,ENERVEST OPERATING LLC,76
1544,-96.4694569,30.0516274,SCHULZ UNIT,RME PETROLEUM COMPANY,53
1545,-96.4344444,30.0633333,BOECKER CALVIN UNIT,CRAWFORD HUGHES OPERATING CO,6
1546,-96.4132174,30.0257056,ELLER UNIT,CRAWFORD HUGHES OPERATING CO,98
1547,-96.4122222,30.0594444,RAINS TRUST UNIT,ENERVEST OPERATING LLC,68
1548,-96.4483335,30.0405555,THELDICK UNIT,CRAWFORD HUGHES OPERATING CO,96
1549,-96.4679242,30.0189821,TITAN,MAGNUM PRODUCING LIMITED PARTNERSHIP,68
1550,-96.3827778,30.0236111,NEHRKORN UNIT,CRAWFORD HUGHES OPERATING CO,65
1551,-96.4038889,30.0513889,DIERKING UNIT,ENERVEST OPERATING LLC,98
1552,-96.3880555,30.0669445,PEARLIE MAE UNIT,ENERVEST OPERATING LLC,82
1553,-96.4005556,30.0777777,WILLIAMS CREEK,CHESAPEAKE OPERATING INCORPORATED,36
1554,-96.4333334,30.0166667,SHUPAK UNIT,CRAWFORD HUGHES OPERATING CO,3
1555,-96.3961111,30.0447222,HENSKE UNIT,ENERVEST OPERATING LLC,75
1556,-96.3723669,30.0701849,MORRIS UNIT,ENERVEST OPERATING LLC,24
1557,-96.4372222,29.9925,APOLLO UNIT,ENERVEST OPERATING LLC,70
1558,-96.412471,29.9142171,PHOENIX UNIT,CHEVRON U S A INCORPORATED,92
1559,-96.402279,30.0407492,RINN UNIT,ANADARKO E & P COMPANY LIMITED PRTNRSHIP,12
1560,-96.5113576,30.0443718,BLEZINGER UNIT,ANADARKO E & P COMPANY LIMITED PRTNRSHIP,82
1561,-96.4150257,30.054244,DIERKING UNIT,ENERVEST OPERATING LLC,66
1562,-96.4341983,30.0400567,GLAESER UNIT,ENERVEST OPERATING LLC,75
1563,-96.4460248,30.0575931,GOLDBERG UNIT,ENERVEST OPERATING LLC,27
1564,-96.4319761,30.0314453,MIKESKA UNIT A,CRAWFORD HUGHES OPERATING CO,47
1565,-96.4253111,30.0603361,RAINS TRUST UNIT,ENERVEST OPERATING LLC,18
1566,-96.396475,30.069552,PEARLIE MAE UNIT,ENERVEST OPERATING LLC,92
1567,-96.41472,30.03278,ELLER UNIT,CRAWFORD HUGHES OPERATING CO,67
1568,-97.0363888,30.0472224,MOTEN UNIT,ANADARKO E & P COMPANY LIMITED PRTNRSHIP,88
1569,-97.0583722,30.1523223,BEHRENS UNIT,TRIVISTA OPERATING LLC,20
