uwi,long,lat,lease,operator,fake_number
69,-103.0510281,32.1674443,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,56
70,-103.0556508,32.1671543,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,20
71,-102.2464264,32.1986662,MABEE UNIT,CHEVRON U S A INCORPORATED,2
72,-102.2347927,32.2109089,MABEE UNIT,CHEVRON U S A INCORPORATED,30
73,-102.2425487,32.199624,MABEE UNIT,CHEVRON U S A INCORPORATED,61
74,-102.24979,32.20955,MABEE UNIT,CHEVRON U S A INCORPORATED,94
75,-102.2446352,32.2066812,MABEE UNIT,CHEVRON U S A INCORPORATED,3
76,-102.224449,32.2470393,MABEE UNIT,CHEVRON U S A INCORPORATED,93
77,-102.236078,32.214695,MABEE UNIT,CHEVRON U S A INCORPORATED,26
78,-102.2519952,32.2369209,MABEE UNIT,CHEVRON U S A INCORPORATED,29
79,-102.2594252,32.2315509,MABEE UNIT,CHEVRON U S A INCORPORATED,68
80,-102.808068,32.4569449,BITLER,CONOCOPHILLIPS COMPANY,8
81,-102.8000748,32.4794724,BITLER DEEP,CONOCOPHILLIPS COMPANY,83
82,-102.5744482,32.1849953,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,7
83,-102.7625828,32.1846151,GOLDSMITH NORTH (SAN ANDRES CONSOL) UT,PECOS OPERATING COMPANY LLC,84
84,-102.3815402,32.1431332,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,46
85,-103.0514101,32.1854568,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,62
86,-103.0428784,32.1174112,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,99
87,-102.9100707,32.161736,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,12
88,-102.8075064,32.4919299,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,89
89,-102.6612495,32.3508615,UNIVERSITY `9-14`,BIG D ENERGY COMPANY,84
90,-102.6765617,32.3701072,UNIVERSITY `3-14`,BIG D ENERGY COMPANY,73
91,-102.8935418,32.146957,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,46
92,-102.7940994,32.4795034,LOWE BITLER UNIT,SHERIDAN PRODUCTION COMPANY LLC,64
93,-102.2488943,32.2221526,MABEE UNIT,CHEVRON U S A INCORPORATED,10
94,-102.8038691,32.4852355,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,36
95,-102.9040444,32.1569778,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,14
96,-102.9040444,32.1569778,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,18
97,-102.9040444,32.1569778,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,64
98,-102.6223186,32.3415148,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,67
99,-102.2128268,32.2279573,MABEE UNIT,CHEVRON U S A INCORPORATED,6
100,-102.8005984,32.4890197,FULLERTON SAN ANDRES UNIT,DEVON ENERGY PRODUCTION COMPANY L P,9
101,-102.8104975,32.4854108,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,67
102,-102.5721492,32.2057525,UNIVERSITY `9A`,XTO ENERGY INCORPORATED,57
103,-102.57798,32.19711,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,28
104,-102.7951193,32.4705115,BITLER,CONOCOPHILLIPS COMPANY,37
105,-102.5838897,32.1964548,UNIVERSITY 9 C,XTO ENERGY INCORPORATED,41
106,-102.5838897,32.1964548,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
107,-102.3175931,32.4091247,UNIVERSITY 8-2,PIEDRA OPERATING LLC,62
108,-102.5716081,32.1897455,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
109,-102.5806692,32.2070735,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,8
110,-102.5859001,32.1989707,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,77
111,-102.5859001,32.1989707,UNIVERSITY 9 C 6H,XTO ENERGY INCORPORATED,44
112,-102.2207194,32.2049861,MABEE UNIT,CHEVRON U S A INCORPORATED,94
113,-102.2217514,32.2152483,MABEE UNIT,CHEVRON U S A INCORPORATED,61
114,-102.5794833,32.2001722,UNIVERSITY 9B,XTO ENERGY INCORPORATED,87
115,-102.5736693,32.1915556,STATE UNIVERSITY `AU`,XTO ENERGY INCORPORATED,15
116,-102.5736693,32.1915556,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,38
117,-102.5859397,32.194488,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,79
118,-102.5762202,32.1994812,UNIVERSITY 9B,XTO ENERGY INCORPORATED,54
119,-102.6816857,32.3461753,UNIVERSITY `13-14` SOUTH,BIG D ENERGY COMPANY,6
120,-102.5771333,32.2027091,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,55
121,-102.5867028,32.2015472,TEXAS `Q`,XTO ENERGY INCORPORATED,33
122,-102.7184725,32.118167,UNIVERSITY `G`,SHERIDAN PRODUCTION COMPANY LLC,60
123,-102.5777419,32.2092186,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,87
124,-102.5777419,32.2092186,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,47
125,-102.5672222,32.1905556,TEXAS N,XTO ENERGY INCORPORATED,63
126,-102.575586,32.1958728,UNIVERSITY `9B`,XTO ENERGY INCORPORATED,92
127,-102.575586,32.1958728,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,8
128,-102.575586,32.1958728,UNIVERSITY 9B,XTO ENERGY INCORPORATED,68
